artist,album,albumId
Metallica,Master Of Puppets,152
Metallica,ReLoad,153
Metallica,Ride The Lightning,154
Metallica,St. Anger,155
Metallica,...And Justice For All,156
Miles Davis,Miles Ahead,157
Milton Nascimento,Milton Nascimento Ao Vivo,158
Milton Nascimento,Minas,159
Motörhead,Ace Of Spades,160
Mônica Marianno,Demorou...,161
Mötley Crüe,Motley Crue Greatest Hits,162
Nirvana,From The Muddy Banks Of The Wishkah [Live],163
Nirvana,Nevermind,164
O Terço,Compositores,165
Olodum,Olodum,166
Os Paralamas Do Sucesso,Acústico MTV,167
Os Paralamas Do Sucesso,Arquivo II,168
Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,169
Ozzy Osbourne,Bark at the Moon (Remastered),170
Ozzy Osbourne,Blizzard of Ozz,171
Ozzy Osbourne,Diary of a Madman (Remastered),172
Ozzy Osbourne,No More Tears (Remastered),173
Ozzy Osbourne,Tribute,174
Page & Plant,Walking Into Clarksdale,175
Passengers,Original Soundtracks 1,176
Paul D'Ianno,The Beast Live,177
Pearl Jam,Live On Two Legs [Live],178
Pearl Jam,Pearl Jam,179
Pearl Jam,Riot Act,180
Pearl Jam,Ten,181
Pearl Jam,Vs.,182
Pink Floyd,Dark Side Of The Moon,183
Planet Hemp,Os Cães Ladram Mas A Caravana Não Pára,184
Queen,Greatest Hits I,185
Queen,News Of The World,186
R.E.M. Feat. Kate Pearson,Out Of Time,187
R.E.M.,Green,188
R.E.M.,New Adventures In Hi-Fi,189
R.E.M.,The Best Of R.E.M.: The IRS Years,190
Raimundos,Cesta Básica,191
Raul Seixas,Raul Seixas,192
Red Hot Chili Peppers,Blood Sugar Sex Magik,193
Red Hot Chili Peppers,By The Way,194
Red Hot Chili Peppers,Californication,195
Rush,Retrospective I (1974-1980),196
Santana,Santana - As Years Go By,197
Santana,Santana Live,198
Skank,Maquinarama,199
Skank,O Samba Poconé,200
Smashing Pumpkins,Judas 0: B-Sides and Rarities,201
Smashing Pumpkins,Rotten Apples: Greatest Hits,202
Soundgarden,A-Sides,203
Spyro Gyra,Morning Dance,204
Stevie Ray Vaughan & Double Trouble,In Step,205
Stone Temple Pilots,Core,206
System Of A Down,Mezmerize,207
"Terry Bozzio, Tony Levin & Steve Stevens",[1997] Black Light Syndrome,208
The Black Crowes,Live [Disc 1],209
The Black Crowes,Live [Disc 2],210
The Clash,The Singles,211
The Cult,Beyond Good And Evil,212
